code,flightnum,depicao,arricao,route,aircraft,flightlevel,distance,deptime,arrtime,flighttime,notes,price,flighttype,daysofweek,enabled," week1"," week2"," week3"," week4"
TAM,3000,SBCT,SBSP,"UW47 NEGUS",PR-MAN,29000,178.795,18:45," 19:30"," 0.47"," EQPT/SDFGHIRWXYZ/Sv PBN/A1B1D1L1O1S2 DAT/SV"," 0"," P"," 0123456"," 1"," 0123456"," 0123456"," 0123456"," 0123456"
TAM,3001,SBSP,SBCT,"DCT DORMI UL310 ORANA",PR-MAA,28000,178.795,09:50," 10:40"," 0.47"," EQPT/SDFGHIRWXYZ/S PBN/A1B1D1L1O1S2 DAT/SV"," 0"," P"," 0123456"," 1"," 0123456"," 0123456"," 0123456"," 0123456"
TAM,3005,SBSP,SBSR,"DCT SCB UZ21 MOMVA DCT ENACT/N0450F200 DCT JRP",PR-MBI,28000,228.202,10:55," 11:45"," 0.5"," EQPT/SDFGHIRWXYZ/S PBN/A1B1D1L1O1S2 DAT/SV EET/SBBS0030"," 0"," P"," 0123456"," 1"," 0123456"," 0123456"," 0123456"," 0123456"
TAM,3006,SBSR,SBSP,"DCT AAQ DCT PUPSI",PR-MBW,27000,228.202,14:00," 14:55"," 0.5"," EQPT/SDFGHIRWXYZ/S PBN/A1B1D1L1O1S2 DAT/SV"," 0"," P"," 0123456"," 1"," 0123456"," 0123456"," 0123456"," 0123456"
TAM,3030,SBRJ,SBBR,"DCT MUDKA UM409 REINA DCT SAPKI DCT",PR-MAN,38000,501.471,23:37," 01:34"," 1.27"," EQPT/SDFGHIRWXYZ/S PBN/A1B1D1L1O1S2 DAT/SV"," 0"," P"," 0123456"," 1"," 0123456"," 0123456"," 0123456"," 0123456"
TAM,3031,SBBR,SBRJ,"DCT ISOPI UZ6 TOKIM",PR-MAL,35000,501.471,23:51," 01:18"," 1.17"," EQPT/SDFGHIRWXYZ/S PBN/A1B1D1L1O1S2 DAT/SV EET/SBCW0052 "," 0"," P"," 0123456"," 1"," 0123456"," 0123456"," 0123456"," 0123456"
TAM,3032,SBJV,SBSP,"DCT OSAMU DCT RONUT DCT NEGUS ",PR-MBI,29000,194.79,14:57," 15:68"," 0.49"," EQPT/SDFGHIRWXYZ/S PBN/A1B1D1L1O1S2 DAT/SV"," 0"," P"," 0123456"," 1"," 0123456"," 0123456"," 0123456"," 0123456"
TAM,3034,SBJV,SBSP,"DCT OSAMU DCT RONUT DCT NEGUS",PR-MBI,29000,194.79,22:03," 22:57"," 0.48"," EQPT/SDFGHIRWXYZ/S PBN/A1B1D1L1O1S2 DAT/SV"," 0"," P"," 0123456"," 1"," 0123456"," 0123456"," 0123456"," 0123456"
TAM,3035,SBSP,SBJV,"UW24 CLARO/N0280F200 DCT CTB DCT",PR-MBI,28000,194.79,13:05," 13:55"," 0.46"," EQPT/SDFGHIRWXYZ/S PBN/A1B1D1L1O1S2 DAT/SV"," 0"," P"," 0123456"," 1"," 0123456"," 0123456"," 0123456"," 0123456"
TAM,3036,SBPA,SBSP,"DCT JUICE UM540 OSAMU UM671 RONUT DCT NEGUS",PR-MAG,37000,452.83,16:34," 18:00"," 1.17"," EQPT/SDFGHIRWXYZ/S PBN/A1B1D1L1O1S2 DAT/SV"," 0"," P"," 0123456"," 1"," 0123456"," 0123456"," 0123456"," 0123456"
TAM,3037,SBBR,SBRJ,"DCT ISOPI UZ6 TOKIM",PR-MAQ,35000,501.471,13:04," 14:36"," 1.17"," EQPT/SDFGHIRWXYZ/S PBN/A1B1D1L1O1S2 DAT/SV EET/SBCW0052 "," 0"," P"," 0123456"," 1"," 0123456"," 0123456"," 0123456"," 0123456"
TAM,3038,SBCT,SBSP,"UW47 NEGUS",PR-MAK,29000,178.795,13:48," 14:22"," 0.55"," EQPT/SDFGHIRWXYZ/S PBN/A1B1D1L1O1S2 DAT/SV"," 0"," P"," 0123456"," 1"," 0123456"," 0123456"," 0123456"," 0123456"
TAM,3096,SBGL,SBPA,"DCT BITAK UN857 DEUCA DCT FLN UW19 OCASO ",PR-MAA,36000,606.194,22:30," 00:00"," 1.45"," EQPT/SDFGHIRWXYZ/S PBN/A1B1D1L1O1S2 DAT/SV"," 0"," P"," 0123456"," 1"," 0123456"," 0123456"," 0123456"," 0123456"
TAM,3098,SBBR,SBSN,"DCT PAMOP UL776 MEVOS UZ52",PR-MAK,34000,905.069,15:08," 17:30"," 2.15"," EQPT/SDFGHIRWXYZ/S PBN/A1B1D1L1O1S2 DAT/SV EET/SBAZ0053"," 0"," P"," 0123456"," 1"," 0123456"," 0123456"," 0123456"," 0123456"
TAM,3099,SBSN,SBBR,"DCT EKUGI UZ52 MEVOS UL776 BSI",PR-MAG,37000,905.069,18:29," 20:47"," 2.14"," EQPT/SDFGHIRWXYZ/S PBN/A1B1D1L1O1S2 DAT/SV EET/SBBS0117"," 0"," P"," 0123456"," 1"," 0123456"," 0123456"," 0123456"," 0123456"
TAM,3100,SBFL,SBSP,"DCT FLN DCT RONUT UZ23 NEGUS DCT",PR-MAK,330000,263.378,09:05," 10:00"," 0.5"," EQPT/SDFGHIRWXYZ/S PBN/A1B1D1L1O1S2 DAT/SV"," 0"," P"," 0123456"," 1"," 0123456"," 0123456"," 0123456"," 0123456"
TAM,3155,SBSV,SBGR,"UZ10 TBE",PT-MXB,32000,3053.86,19:12," 21:30"," 2.17"," EQPT/SDFGHIRWXYZ/S PBN/A1B1D1L1O1S2 DAT/SV EET/SBCW0114"," 65"," P"," 0123456"," 1"," 0123456"," 0123456"," 0123456"," 0123456"
TAM,3157,SBGR,SBCT,"DCT DORMI UL310 ORANA",PR-MAP,26000,193.567,09:40," 10:24"," 0.44"," EQPT/SDFGHIRWXYZ/S PBN/A1B1D1L1O1S2 DAT/SV"," 0"," P"," 0123456"," 1"," 0123456"," 0123456"," 0123456"," 0123456"
TAM,3158,SBFL,SBGR,"UW21 ANISE DCT ",PR-MAK,330000,277.485,08:52," 09:40"," 0.56"," EQPT/SDFGHIRWXYZ/S PBN/A1B1D1L1O1S2 DAT/SV EET/SBBS0045 SBCW0049"," 0"," P"," 0123456"," 1"," 0123456"," 0123456"," 0123456"," 0123456"
TAM,3159,SBGR,SBFL,"DCT CURSE UM792 PNG DCT PONCA DCT",PR-MAA,32000,277.485,02:22," 03:13"," 0.58"," EQPT/SDFGHIRWXYZ/S PBN/A1B1D1L1O1S2 DAT/SV"," 0"," P"," 0123456"," 1"," 0123456"," 0123456"," 0123456"," 0123456"
TAM,3160,SBPA,SBGR,"DCT JUICE UM540 OSAMU UM671 RONUT UM548 ANISE DCT ",PR-MAK,35000,467.487,18:00," 19:15"," 1.15"," PBN/A1B1D1L1O1S2 DAT/SV EQPT/SDFGHIRWXYZ/S"," 0"," P"," 0123456"," 1"," 0123456"," 0123456"," 0123456"," 0123456"
TAM,3161,SBGR,SBPA,"DCT CURSE UM788 NAFIL UW24 OCASO DCT",PR-MAK,34000,467.487,16:25," 17:40"," 1.2"," EQPT/SDFGHIRWXYZ/S PBN/A1B1D1L1O1S2 DAT/SV "," 0"," P"," 0123456"," 1"," 0123456"," 0123456"," 0123456"," 0123456"
TAM,3162,SBPA,SBSP,"DCT JUICE UM540 OSAMU UM671 RONUT DCT NEGUS",PR-MAK,37000,452.83,22:57," 00:17"," 1.16"," EQPT/SDFGHIRWXYZ/S PBN/A1B1D1L1O1S2 DAT/SV"," 0"," P"," 0123456"," 1"," 0123456"," 0123456"," 0123456"," 0123456"
TAM,3201,SBCF,SBSP,"DCT MOTMA UZ30 ENTIT",PR-MBU,32000,282.48,11:01," 12:01"," 1"," EQPT/SDFGHIRWXYZ/S PBN/A1B1D1L1O1S2 DAT/SV "," 0"," P"," 0123456"," 1"," 0123456"," 0123456"," 0123456"," 0123456"
TAM,3202,SBSP,SBCF,"DCT UBRIR UZ23 OPKES",PR-MAL,33000,282.48,18:55," 19:58"," 1"," EQPT/SDFGHIRWXYZ/S PBN/A1B1D1L1O1S2 DAT/SV"," 0"," P"," 0123456"," 1"," 0123456"," 0123456"," 0123456"," 0123456"
TAM,3494,SBGR,SBGL,"VULET UZ42 ESORU",PR-MAA,27000,182.215,15:25," 16:16"," 0.43"," EQPT/SDFGHIRWXYZ/S PBN/A1B1D1L1O1S2 DAT/SV"," 0"," P"," 0123456"," 1"," 0123456"," 0123456"," 0123456"," 0123456"
TAM,3495,SBGL,SBGR,"UMBAD UZ44 PAGOG",PR-MAK,28000,182.215,1709," 18:00"," 0.48"," EQPT/SDFGHIRWXYZ/S PBN/A1B1D1L1O1S2 DAT/SV"," 0"," P"," 0123456"," 1"," 0123456"," 0123456"," 0123456"," 0123456"
TAM,3496,SBCF,SBBR,"DOKBA UZ33",PR-MAA,28000,319.831,09:51," 117"," 1.05"," EQPT/SDFGHIRWXYZ/S PBN/A1B1D1L1O1S2 DAT/SV"," 0"," P"," 0123456"," 1"," 0123456"," 0123456"," 0123456"," 0123456"
TAM,3498,SBGR,SBRF,"DCT USAMO UZ14 AVILA UW10 ZIPAR DCT",PR-MAL,33000,1136.05,22:50," 01:24"," 2.4"," EQPT/SDFGHIRWXYZ/S PBN/A1B1D1L1O1S2 DAT/SV EET/SBRE0106"," 0"," P"," 0123456"," 1"," 0123456"," 0123456"," 0123456"," 0123456"
TAM,3534,SBBR,SBRB,"DCT KOGDI UM530 MIPAD UM530 BUVKI UM530 DADED UM530 RCO DCT",PR-MAK,36000,1215.53,13:44," 17:00"," 3.1"," EQPT/SDFGHIRWXYZ/S PBN/A1B1D1L1O1S2 DAT/SV EET/SBAZ0051 SLLF0229 SBAZ0243"," 0"," P"," 0123456"," 1"," 0123456"," 0123456"," 0123456"," 0123456"
TAM,3535,SBRB,SBBR,"UM530 DADED BUVKI UM530 KOGDU UM530 OPLIK DCT",PR-MAN,37000,1215.53,18:20," 21:30"," 3.03"," EQPT/SDFGHIRWXYZ/S PBN/A1B1D1L1O1S2 DAT/SV EET/SLLF0015 SBAZ0028 SBBS0207"," 0"," P"," 0123456"," 1"," 0123456"," 0123456"," 0123456"," 0123456"
TAM,3536,SBFZ,SBSL,"UW33 OBLEV UW33 SLI DCT",PR-MAP,32000,350.396,15:40," 16:40"," 1.1"," EQPT/DFGHIRWXYZ PBN/A1B1D1L1O1S2 DAT/SV EET/SBAZ0035"," 0"," P"," 0123456"," 1"," 0123456"," 0123456"," 0123456"," 0123456"
TAM,3537,SBSL,SBFZ,"UW33 OBLEV UW33 URT DCT",PR-MAG,31000,350.396,18:33," 19:40"," 1.03"," EQPT/SDFGHIRWXYZ/S PBN/A1B1D1L1O1S2 DAT/SV EET/SBRE0020"," 0"," P"," 0123456"," 1"," 0123456"," 0123456"," 0123456"," 0123456"
TAM,3538,SBBR,SBAR,"DCT SELDI UZ19 SVD UZ17 ARU",PR-MAG,37000,698.924,17:25," 19:00"," 1.5"," EQPT/SDFGHIRWXYZ/S PBN/A1B1D1L1O1S2 DAT/SV EET/SBRE0033"," 65"," P"," 0123456"," 1"," 0123456"," 0123456"," 0123456"," 0123456"
TAM,3539,SBAR,SBBR,"DCT CONDE UZ17 APINO DCT",PR-MAP,36000,698.924,20:05," 22:05"," 1.5"," EQPT/SDFGHIRWXYZ/S PBN/A1B1D1L1O1S2 DAT/SV EET/SBBS0029"," 0"," P"," 0123456"," 1"," 0123456"," 0123456"," 0123456"," 0123456"
TAM,3542,SBBR,SBEG,"DCT PAMOP DCT GIGTI UM409 MAMGI UZ9 MNS DCT",PR-MAG,36000,1053.09,00:10," 02:50"," 2.4"," EQPT/SDFGHIRWXYZ/S PBN/A1B1D1L1O1S2 DAT/SV EET/SBAZ0055"," 0"," P"," 0123456"," 1"," 0123456"," 0123456"," 0123456"," 0123456"
TAM,3546,SBGR,SBGO,"DCT RCL UZ25 CORVO UZ46",PR-MAG,34000,438.007,19:50," 21:00"," 1.1"," EQPT/SDFGHIRWXYZ/S PBN/A1B1D1L1O1S2 DAT/SV"," 0"," P"," 0123456"," 1"," 0123456"," 0123456"," 0123456"," 0123456"
TAM,8063,LIMC,SBGR,"NANIK UN741 JOBER UN741 CARDO UN741",PR-MAL,,5127.19,22:10," 05:40"," 11.23"," EET/SBAO0658 SBRE0803 SBBS1010"," 0"," P"," 0123456"," 1"," 0123456"," 0123456"," 0123456"," 0123456"
TAM,9002,KMIA,SBGR,"POVLA UL304 MALMI UL304 EGONI UL795 GERBO UZ2 ENTIT UN741",PR-MAA,37000,3553.37,10:00," 17:30"," 7.4"," EET/SBAZ0344 SBBS0550"," 0"," P"," 0123456"," 1"," 0123456"," 0123456"," 0123456"," 0123456"
TAM,9020,SAEZ,SBGR,"AKNEN UM671 ANISE UW21",PT-MSJ,34000,931.241,12:20," 14:40"," 2.4"," EET/SBCW0040"," 0"," P"," 0123456"," 1"," 0123456"," 0123456"," 0123456"," 0123456"
TAM,9999,SBCT,SCEL,"UL310 ARULA UL310",PR-MAK,36000,1223.43,12:00," 14:40"," 0"," EET/SARU0055"," 0"," P"," 0123456"," 1"," 0123456"," 0123456"," 0123456"," 0123456"
